English,Telugu,MIX CODE (TENGLISH),TRANSLITERATION
He put salt into his cup of coffee by mistake.,అతను పొరపాటున తన కప్పు కాఫీలో ఉప్పు వేశాడు.          ,He mistake గా coffee లో salt వేసాడు.,He mistake ga coffee lo salt vesadu.
I'll arrive on October 20th.,నేను అక్టోబర్ 20 న వస్తాను.          ,I’ll October 20thన వచ్చేస్తాను.,I’ll October 20th na vachhestanu.
What's the worst thing that could happen?,జరిగే చెత్త విషయం ఏమిటి?          ,Worst thing ఏమి జరగవచ్చు?,Worst thing emi jaragavachhu?
Tom seems bored.,టామ్ విసుగు చెందినట్లుంది.          ,Tom bored గా కనిపిస్తున్నాడు.,Tom bored gaa kanipistunnadu.
Can I offer a suggestion?,నేను సలహా ఇవ్వవచ్చా?          ,Can I give ఒక suggestion?,Can I give oka suggestion?
Do you have a piano?,మీకు పియానో ఉందా?          ,Piano మీ దగ్గర ఉందా?,Piano mee daggara unda?
I ran to school.,నేను బడికి పరిగెత్తాను.          ,Schoolకి నేను run చేసాను.,School ki nenu run chesanu.
You're standing on my foot.,మీరు నా పాదాల మీద నిలబడి ఉన్నారు.          ,You are standing on నా foot.,You are standing on naa foot.
Let's leave as soon as he gets back.,అతను తిరిగి రాగానే బయలుదేరదాం.          ,అతను back రాగానే మనం leave అవుదాం.,Atanu back raagaane manam leave avudam.
Where's it used?,ఇది ఎక్కడ ఉపయోగించబడింది?          ,This ఎక్కడ use చేస్తారు?,This ekkada use chestaru?
You've probably forgotten about it already.,మీరు ఇప్పటికే దాని గురించి మరచిపోయారు.          ,మీరు already దాన్ని forget అయ్యారు.,Meeru already daani marichipoyaru.
You shouldn't let him get away with cheating.,మీరు అతన్ని మోసంతో తప్పించుకోకూడదు.          ,Cheating చేసి అతను escape కాకుండా చూడాలి.,Cheating chesi atanu escape kaakunda chudali.
We have to get out of here fast.,మేము వేగంగా ఇక్కడి నుండి బయటపడాలి.          ,మేము fastగా ఇక్కడి నుండి బయటపడాలి.,Memu fastga ikkadi nundi bayatapadaali.
Tom can't answer.,టామ్ సమాధానం చెప్పలేడు.          ,Tom answer  చెప్పలేడు., Tom answer  chepaledu
The cat is in the box.,పిల్లి పెట్టెలో ఉంది.          ,Cat box లో ఉంది.,Cat box lo undi.
You were treated unfairly.,మీకు అన్యాయంగా ప్రవర్తించారు.          ,మీరు unfair గా treat చేయబడ్డారు.,Meeru unfair ga treat cheyabadaru.
It's obsolete.,ఇది వాడుకలో లేదు.          ,ఇది obsolete అయిపోయింది.,Idi obsolete ayipoyindi.
What's the fastest way to get to the airport?,విమానాశ్రయానికి చేరుకోవడానికి వేగవంతమైన మార్గం ఏమిటి?          ,Airport కి reach అవడానికి fastest way ఏంటి?,Airport ki reach avadaniki fastest way enti?
Tom didn't know Mary wanted him to help her.,మేరీ తనకు సహాయం చేయాలని టామ్కు తెలియదు.          ,Mary తనకి help కావాలని Tom కి తెలియదు.,Mary tanaki help kaavalani Tom ki theliyadu.
I don't have a lot of patients.,నాకు చాలా మంది రోగులు లేరు.          ,నాకు too many patients లేరు.,Naaku too many patients leru.
Tom will need your help.,టామ్‌కు మీ సహాయం కావాలి.          ,Tom కి మీ help అవసరం.,Tom ki mee help avasaram.
I think I speak French about as well as Tom does.,నేను టామ్ గురించి ఫ్రెంచ్ మాట్లాడతాను.          ,నేను Tom లా French  మాట్లాడతాను.,Nenu Tom la French Matladathanu
In New York  the dollar was worth eight shillings.,న్యూయార్క్‌లో డాలర్ విలువ ఎనిమిది షిల్లింగ్‌లు.         ,New York లో dollar worth ఎనిమిది షిల్లింగ్‌లు.,New York lo dollar worth enimidi shillings.
Look what I found on my way home.,ఇంటికి వెళ్ళేటప్పుడు నేను కనుగొన్నదాన్ని చూడండి.          ,"Homeకి వెళ్తూ I found ఇది, look చేయండి.","Home ki velthoo I found idi, look cheyyandi."
We will now report on this year's business results.,మేము ఇప్పుడు ఈ సంవత్సరం వ్యాపార ఫలితాలపై నివేదిస్తాము.          ,ఇప్పుడు మనం ఈ year's business results report చేస్తాం.,Ippudu manam ee year’s business results report chestham.
This will take some time.,దీనికి కొంత సమయం పడుతుంది.          ,ఇది complete చేయడానికి some time పడుతుంది.,Idi complete cheyadaniki some time padutundi.
It took me several hours to paint that room.,ఆ గదిని చిత్రించడానికి నాకు చాలా గంటలు పట్టింది.          ,That room paint చేయడానికి I spent several hours.,That room paint cheyadaniki I spent several hours.
We know what to expect.,ఏమి ఆశించాలో మాకు తెలుసు.          ,We already know ఏమి expect చేయాలో.,We already know emi expect cheyaalo.
Did you really dream about me?,మీరు నిజంగా నా గురించి కలలు కన్నారా?          ,మీరు నిజంగా నా గురించి dream కన్నారా?,Meeru nijanga naa gurinchi dream Kanaraa?
